"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Kotlas ","22887",389,1.00030800821355,20,56,61.233338,46.716681
"Kovda ","22312",36,0.540944343065693,13,17,66.700014,32.883351
"Krasnoscel'E ","22235",141,1.00391854893908,20,155,67.350007,37.050001
"Krasnoselkup ","23465",52,0.960771731690623,9,60,65.683347,82.466676
"Kreml ","22429",71,0.658082363677846,10,7,65.033334,35.716681
"Kuopio ","02917",23,0.909720109522361,16,98,63.016667,27.800016
"Kuusamo Airport ","02869",4,0.912262563459015,20,265,65.983353,29.216671
"Kuzmovka ","23788",59,0.980022245037645,14,60,62.316673,92.133336
"Kvamskogen","01328",3,0.411040145985401,4,408,60.4,5.91666666666667
"Kvikkjokk","02120",76,0.712036765424856,14,337,66.95,17.75
"Laerdal-Tonjum ","01355",17,0.929357103745934,20,24,61.066668,7.516677
"Lahti","02965",70,0.953363725973386,20,83,60.9666666666667,25.6333333333333
"Lappeenranta ","02958",16,0.942088300724431,20,106,61.033334,28.133336
"Lappeenranta Hiekkapakka ","02919",3,1.059438325321,9,79,61.183337,28.466676
"Larjak ","23867",217,0.979400049788399,13,55,61.100002,80.266672
"Leka","01103",2,0.44280240831965,6,47,65.1,11.7
"Lensk ","24923",342,0.997809719370294,20,243,60.716681,114.883351
"Lerwick ","03005",92,0.995767738991558,20,82,60.133336,-1.183337
"Lesjaskog","01231",24,0.723519849418207,10,621,62.2333333333333,8.36666666666667
"Lesogorskiy","22891",64,0.718782073212453,8,39,61.0333333333333,28.9333333333333
"Lesukonskoe ","22573",98,0.805878729811114,12,66,64.900018,45.766682
"Litloy Fyr","01154",1,0.191893278604413,12,30,68.5833333333333,14.3
"Lodejnoe Pole ","22913",145,0.91208932238193,12,23,60.716681,33.550011
"Loparskaya","22114",1,0.0086960360201289,7,112,68.6333333333333,33.2
"Lovozero ","22127",122,0.996098562628337,20,161,68,35.033334
"Lulea / Kallax ","02186",28,0.971300838514631,20,17,65.550011,22.133336
"M.K.(MUDHOLE) SMITH ARPT","70296",16,0.997324376636684,20,9.5,60.489,-145.451
"Majavatn Iii","01134",21,0.414614121510673,14,339,65.1833333333333,13.4166666666667
"Makkaur Fyr ","01092",7,0.921460555587245,20,9,70.700014,30.083335
"Malung","02410",41,0.859086242299795,6,308,60.6833333333333,13.7166666666667
"Malye Karmakuly ","20744",15,0.983744010951403,20,16,72.366674,52.700014
"Maraker-Utsyn","01292",26,0.641830870279146,5,239,63.4166666666667,11.75
"Maresale ","23032",31,0.97569151923617,20,25,69.716681,66.800016
"Markovo ","25551",20,0.996486585143274,15,33,64.683347,170.416675
"Marstein ","01232",1,0.871383030897499,16,64,62.433342,7.83335
"MAYO","71965",82,0.986673140637496,20,503.8,63.616,-135.868
"MCGRATH AIRPORT","70231",73,0.993850358729074,20,101.5,62.957,-155.61
"Medvezegorsk ","22721",326,1.00022245037645,20,80,62.916685,34.433342
"MERRILL FIELD AIRPORT","70273",7,0.997825591985428,20,42.1,61.217,-149.855
"Mezen ","22471",190,0.948824287324851,18,14,65.866684,44.216671
"Mikkeli Airport ","02947",6,1.00102685023199,20,100,61.683347,27.200004
"Mirnvy ","24726",94,0.68205574912892,11,347,62.533344,113.866684
"Mirnyj ","89592",1,0.999315537303217,20,30,-66.550011,93.016667
"Mjolfjell ","01344",3,0.896078610325211,18,695,60.700014,6.933352
"Modalen Ii","01325",24,0.851319648093842,9,114,60.8333333333333,5.95
"Monchegorsk ","22212",46,0.398140084598159,13,131,67.933352,32.916685
"Morzhovec","22361",16,0.677197384428224,11,16,66.7166666666667,42.4833333333333
"Moseyevo ","22481",136,0.798213796879277,13,39,65.783349,46.183337
"Mud'Jug ","22551",122,0.805604982206406,11,3,64.850017,40.283339
"Muhomornoje ","25356",10,0.979368932038835,11,74,66.383341,173.350007
"Muonio","02823",111,0.974555061179088,20,253,67.9666666666667,23.6833333333333
"Murmansk ","22113",146,1.0008726899384,20,50,68.950019,33.033334
"Mutoraj ","24807",88,0.970183093771389,9,331,61.316673,100.466676
"Muzi ","23426",172,0.995362765229295,20,19,65.483343,64.716681
"Myken ","01115",34,0.979150213236456,20,17,66.750015,12.483343
"Mys Konstantinovskij ","23114",44,0.562047898338221,11,6,68.533344,55.483343
"Mys Mikulkin","22282",26,0.928314121037464,19,6,67.8,46.6666666666667
"Mys Shmidta","25173",1,0.933333333333333,17,7,68.9,-179.366666666667
"Mys Sterlegova ","20476",4,0.680776074459349,11,10,75.400008,88.900018
"Mys Uelen ","25399",1,1.00015796124684,13,7,66.150003,-169.83335
"Nadym ","23445",91,0.979368932038835,11,18,65.466676,72.66668
"Nakanno","24713",1,0.0197368421052632,2,245,62.8833333333333,108.433333333333
"Namdalseid","01280",30,0.652524330900243,9,86,64.25,11.2
"Nar'Jan-Mar ","23205",160,1.0032340862423,20,7,67.633346,53.033334
"Narsarsuaq ","04270",1,0.952961896069819,20,34,61.16667,-45.416675
"Nera ","24585",48,0.917522245037645,9,518,64.550011,144.400008
"Nesbyen-Skoglund","01372",10,0.712712096332786,5,167,60.5666666666667,9.13333333333333
"Niinisalo ","02942",225,1.01562286105407,20,134,61.850017,22.466676
"Nikel ","22004",41,0.252032997106889,18,126,69.400008,30.200004
"Nivala","02905",11,0.611212397447584,2,79,63.9166666666667,24.9666666666667
"Nivankyul","22105",6,0.44811858608894,12,91,68.3833333333333,30.75
"Nizhnevartovsk ","23471",172,0.960686173853525,10,54,60.916685,76.600012
"Nizhnyaya Pesha ","22383",59,0.562072336265885,11,13,66.733348,47.716681
"Njaksimvol ","23724",174,0.964458719460826,20,50,62.433342,60.866684
"Njandoma ","22854",255,0.933632962219383,15,224,61.66668,40.183337
"Njurba ","24639",226,0.999110198494182,20,129,63.283339,118.33334
"Nodreisa-Oyeng","01041",1,0.583941605839416,8,5,69.7333333333333,21.0166666666667
"NOME AIRPORT","70200",14,1.00311430527036,20,4,64.511,-165.44
"Nord-Solvaer ","01121",8,0.892052556395453,20,10,66.400008,12.616679
"Nordli-Holand","01298",86,0.68104038329911,18,433,64.45,13.7166666666667
"Nordoyan Fyr ","01262",6,0.927578208183339,20,33,64.800016,10.550011
"Nordstraum I Kvaenangen ","01045",15,0.392967480969519,20,6,69.83335,21.883351
"Noril'sk ","23078",30,0.754233664043791,9,64,69.33334,88.250005
"Norman Wells, N. W. T. ","71043",193,1.00482926458286,20,67,65.283339,-126.800016
"NORTHWAY AIRPORT","70291",156,0.996679433465796,19,522.1,62.962,-141.988
"Novy Port ","23242",19,0.680475504322767,14,12,67.683347,72.866684
"Nyda ","23345",66,0.970268651608487,10,7,66.633346,72.933352
"Nyuksenitsa ","22974",113,0.203681071568244,11,137,60.416675,44.250005
"Ob. Jacevo ","22996",459,0.999349760438056,20,153,60.366674,49.650013
"Ohotsky Perevoz ","24871",103,0.917522245037645,9,140,61.866684,135.533344
"Ojmjakon ","24688",216,0.99678302532512,20,745,63.233338,143.16667
"Oktjabr'Skoe ","23734",346,0.99556810403833,20,73,62.450009,66.050001
"Okunev Nos ","23305",76,0.709280043799617,10,20,66.250005,52.583345
"Olanga Stream","22305",1,0.148699520876112,9,106,66.1666666666667,30.6833333333333
"Olekminsk ","24944",310,0.999555099247091,20,226,60.400008,120.416675
"Olenek ","24125",92,0.995859000684463,20,220,68.50001,112.433342
"Olonec ","22912",119,0.871691512017037,12,11,60.983353,32.983353
"Omastrand","01330",12,0.606374657802112,6,1,60.2166666666667,5.98333333333333
"Omolon ","25428",45,0.778592139175258,17,265,65.233338,160.533344
"Ona Ii ","01212",6,0.947141006209358,20,13,62.866684,6.533344
"Onega ","22641",298,1.00027378507871,20,8,63.900018,38.116669
"Oppdal-Bjorke ","01245",62,0.911755169680813,20,630,62.600012,9.683347
"Orland Iii ","01241",188,0.981262833675565,20,7,63.700014,9.600012
"Oslo / Gardermoen ","01384",277,0.904098454166904,20,20,60.200004,11.083335
"Ostersund / Froson ","02226",23,0.968762477896298,20,376,63.183337,14.50001
"Ostrov Dikson ","20674",15,1.00275496235455,20,47,73.50001,80.400008
"Ostrov Kotel'Nyj ","21432",4,0.983572895277207,20,10,76,137.866684
"Ostrov Vize ","20069",1,0.999789385004212,13,10,79.50001,76.983353
"Ostrov Vrangelja ","21982",1,0.946526351813826,20,4,70.983353,-178.650013
"Ozerki","22897",51,0.712367430721861,9,11,60.2166666666667,29
